time,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,dni,dhi,ghi
2005-01-01 00:10:00+00:00,0.0,0.0,0.0,0.0,-2.84,1.93,0,0.0,0.0,0.0
2005-01-01 01:10:00+00:00,0.0,0.0,0.0,0.0,-2.83,1.93,0,0.0,0.0,0.0
2005-01-01 02:10:00+00:00,0.0,0.0,0.0,0.0,-2.23,1.86,0,0.0,0.0,0.0
2005-01-01 03:10:00+00:00,0.0,0.0,0.0,0.0,-1.9,1.86,0,0.0,0.0,0.0
2005-01-01 04:10:00+00:00,0.0,0.0,0.0,0.0,-1.91,1.86,0,0.0,0.0,0.0
2005-01-01 05:10:00+00:00,0.0,0.0,0.0,0.0,-2.05,1.86,0,0.0,0.0,0.0
2005-01-01 06:10:00+00:00,0.0,0.0,0.0,0.0,-2.58,1.93,0,0.0,0.0,0.0
2005-01-01 07:10:00+00:00,0.0,0.0,0.0,0.0,-2.66,1.79,0,0.0,0.0,0.0
2005-01-01 08:10:00+00:00,37.0,37.0,0.0,8.51,-2.15,1.52,0,249.0844572300926,37.0,74.0
2005-01-01 09:10:00+00:00,143.01,62.0,0.0,15.06,1.05,1.24,0,550.1676643255848,62.0,205.01
2005-01-01 10:10:00+00:00,234.01,73.0,0.0,19.56,3.6,1.24,0,697.8834162437415,73.0,307.01
2005-01-01 11:10:00+00:00,292.01,73.0,0.0,21.6,5.36,1.38,0,790.9697008494484,73.0,365.01
2005-01-01 12:10:00+00:00,307.01,67.0,0.0,20.94,6.43,1.38,0,854.7953279510491,67.0,374.01
2005-01-01 13:10:00+00:00,251.01,68.0,0.0,17.66,7.02,1.31,0,820.3998330018245,68.0,319.01
2005-01-01 14:10:00+00:00,163.01,59.0,0.0,12.11,7.11,1.03,0,764.0763527089799,59.0,222.01
2005-01-01 15:10:00+00:00,61.01,16.78,0.0,4.76,6.01,0.83,0,689.191120873475,16.78,77.78999999999999
2005-01-01 16:10:00+00:00,0.0,0.0,0.0,0.0,5.43,0.76,0,0.0,0.0,0.0
2005-01-01 17:10:00+00:00,0.0,0.0,0.0,0.0,4.45,0.9,0,0.0,0.0,0.0
2005-01-01 18:10:00+00:00,0.0,0.0,0.0,0.0,2.8,1.24,0,0.0,0.0,0.0
2005-01-01 19:10:00+00:00,0.0,0.0,0.0,0.0,-1.17,2.21,0,0.0,0.0,0.0
2005-01-01 20:10:00+00:00,0.0,0.0,0.0,0.0,-1.53,2.14,0,0.0,0.0,0.0
2005-01-01 21:10:00+00:00,0.0,0.0,0.0,0.0,-1.78,2.21,0,0.0,0.0,0.0
2005-01-01 22:10:00+00:00,0.0,0.0,0.0,0.0,-1.99,2.21,0,0.0,0.0,0.0
2005-01-01 23:10:00+00:00,0.0,0.0,0.0,0.0,-1.94,2.28,0,0.0,0.0,0.0
2005-01-02 00:10:00+00:00,0.0,0.0,0.0,0.0,-1.67,2.34,0,0.0,0.0,0.0
2005-01-02 01:10:00+00:00,0.0,0.0,0.0,0.0,-1.29,2.48,0,0.0,0.0,0.0
2005-01-02 02:10:00+00:00,0.0,0.0,0.0,0.0,-0.96,2.55,0,0.0,0.0,0.0
2005-01-02 03:10:00+00:00,0.0,0.0,0.0,0.0,-0.26,2.48,0,0.0,0.0,0.0
2005-01-02 04:10:00+00:00,0.0,0.0,0.0,0.0,0.24,2.28,0,0.0,0.0,0.0
2005-01-02 05:10:00+00:00,0.0,0.0,0.0,0.0,0.27,2.14,0,0.0,0.0,0.0
2005-01-02 06:10:00+00:00,0.0,0.0,0.0,0.0,-0.4,2.14,0,0.0,0.0,0.0
2005-01-02 07:10:00+00:00,0.0,0.0,0.0,0.0,-1.44,1.93,0,0.0,0.0,0.0
2005-01-02 08:10:00+00:00,49.0,31.0,0.0,8.53,-1.32,1.72,0,329.2537883510346,31.0,80.0
2005-01-02 09:10:00+00:00,141.01,63.0,0.0,15.09,2.04,1.31,0,541.1957263099507,63.0,204.01
2005-01-02 10:10:00+00:00,233.01,72.0,0.0,19.62,5.09,1.24,0,692.8835249575121,72.0,305.01
2005-01-02 11:10:00+00:00,290.01,74.0,0.0,21.68,6.77,1.38,0,782.7095311793267,74.0,364.01
2005-01-02 12:10:00+00:00,310.01,65.0,0.0,21.04,8.16,1.52,0,859.1245125935495,65.0,375.01
2005-01-02 13:10:00+00:00,250.01,69.0,0.0,17.78,8.93,1.52,0,811.8875297413653,69.0,319.01
2005-01-02 14:10:00+00:00,166.01,58.0,0.0,12.23,8.99,1.1,0,770.1971328220204,58.0,224.01
2005-01-02 15:10:00+00:00,48.01,25.86,0.0,4.89,7.6,1.31,0,528.5796579116189,25.86,73.86999999999999
2005-01-02 16:10:00+00:00,0.0,0.0,0.0,0.0,5.11,1.66,0,0.0,0.0,0.0
2005-01-02 17:10:00+00:00,0.0,0.0,0.0,0.0,2.69,2.21,0,0.0,0.0,0.0
2005-01-02 18:10:00+00:00,0.0,0.0,0.0,0.0,1.61,2.62,0,0.0,0.0,0.0
2005-01-02 19:10:00+00:00,0.0,0.0,0.0,0.0,1.64,2.48,0,0.0,0.0,0.0
2005-01-02 20:10:00+00:00,0.0,0.0,0.0,0.0,1.79,2.69,0,0.0,0.0,0.0
2005-01-02 21:10:00+00:00,0.0,0.0,0.0,0.0,2.7,3.1,0,0.0,0.0,0.0
2005-01-02 22:10:00+00:00,0.0,0.0,0.0,0.0,3.17,3.38,0,0.0,0.0,0.0
2005-01-02 23:10:00+00:00,0.0,0.0,0.0,0.0,3.5,3.24,0,0.0,0.0,0.0
2005-01-03 00:10:00+00:00,0.0,0.0,0.0,0.0,3.76,3.1,0,0.0,0.0,0.0
2005-01-03 01:10:00+00:00,0.0,0.0,0.0,0.0,4.09,3.45,0,0.0,0.0,0.0
2005-01-03 02:10:00+00:00,0.0,0.0,0.0,0.0,4.38,3.59,0,0.0,0.0,0.0
2005-01-03 03:10:00+00:00,0.0,0.0,0.0,0.0,3.59,2.97,0,0.0,0.0,0.0
2005-01-03 04:10:00+00:00,0.0,0.0,0.0,0.0,2.26,1.93,0,0.0,0.0,0.0
2005-01-03 05:10:00+00:00,0.0,0.0,0.0,0.0,3.96,0.9,0,0.0,0.0,0.0
2005-01-03 06:10:00+00:00,0.0,0.0,0.0,0.0,3.84,0.28,0,0.0,0.0,0.0
2005-01-03 07:10:00+00:00,0.0,0.0,0.0,0.0,4.33,1.24,0,0.0,0.0,0.0
2005-01-03 08:10:00+00:00,52.0,30.0,0.0,8.56,1.93,1.52,0,348.4867685076167,30.0,82.0
2005-01-03 09:10:00+00:00,166.01,51.0,0.0,15.14,3.15,1.31,0,635.3528873311952,51.0,217.01
2005-01-03 10:10:00+00:00,241.01,72.0,0.0,19.69,6.36,1.66,0,714.3391515026346,72.0,313.01
2005-01-03 11:10:00+00:00,299.01,73.0,0.0,21.77,7.56,2.07,0,803.830057164039,73.0,372.01
2005-01-03 12:10:00+00:00,320.01,64.0,0.0,21.15,8.43,2.41,0,882.4401805174757,64.0,384.01
2005-01-03 13:10:00+00:00,263.01,66.0,0.0,17.9,8.96,2.41,0,848.3573376826324,66.0,329.01
2005-01-03 14:10:00+00:00,176.01,57.0,0.0,12.37,8.95,2.21,0,807.9642194198246,57.0,233.01
2005-01-03 15:10:00+00:00,54.01,23.67,0.0,5.02,7.85,2.48,0,579.3447787479301,23.67,77.68
2005-01-03 16:10:00+00:00,0.0,0.0,0.0,0.0,5.93,3.03,0,0.0,0.0,0.0
2005-01-03 17:10:00+00:00,0.0,0.0,0.0,0.0,4.69,3.17,0,0.0,0.0,0.0
